2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🧠 AI Site Analyzer enabled (smart URL normalization)
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🤖 Gemini detector initialized for form/navigation detection
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🤖 AI-enhanced form detection enabled in DOMAnalyzer
2026-03-07 20:01:23 | crawler.graph_builder | INFO | GraphBuilder initialized
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🧙 Form wizard detector initialized
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🚫 Modal handler initialized
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 📎 File upload detector initialized
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🌑 Shadow DOM detector initialized
2026-03-07 20:01:23 | crawler.orchestrator | INFO | ⏱️  Rate limiter initialized
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🚀 CrawlerOrchestrator initialized
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 🎯 Starting crawl: http://127.0.0.1:5001
2026-03-07 20:01:23 | crawler.orchestrator | INFO | 📊 Config: max_depth=5, max_pages=50
2026-03-07 20:01:32 | crawler.orchestrator | INFO | 🚫 Checking for initial popups/modals...
2026-03-07 20:01:33 | crawler.orchestrator | INFO | 🧠 Performing ONE-TIME site structure analysis...
2026-03-07 20:01:33 | crawler.orchestrator | INFO | 📡 Collecting sample URLs for pattern detection...
2026-03-07 20:01:40 | crawler.orchestrator | WARNING | ⚠️  Site analysis failed (continuing with defaults): 'GeminiKeyRotator' object has no attribute 'current_key_info'
2026-03-07 20:01:40 | crawler.orchestrator | INFO | 🔄 Starting BFS crawl...
2026-03-07 20:01:40 | crawler.orchestrator | INFO | 🌐 Crawling [0]: http://127.0.0.1:5001
2026-03-07 20:02:00 | crawler.orchestrator | INFO | ✅ New state: fb871217 | / | 0 inputs, 0 forms
2026-03-07 20:02:00 | crawler.orchestrator | INFO | 📊 Progress: 1/50 pages | Queue: 1 | Depth: 0
2026-03-07 20:02:00 | crawler.orchestrator | INFO | 🌐 Crawling [1]: http://127.0.0.1:5001/login
2026-03-07 20:02:14 | crawler.orchestrator | INFO | ✅ New state: 93b50e53 | /login | 2 inputs, 1 forms
2026-03-07 20:02:14 | crawler.orchestrator | INFO | 📊 Progress: 2/50 pages | Queue: 0 | Depth: 1
2026-03-07 20:02:14 | crawler.orchestrator | INFO | 🏁 Crawl finished: 2 pages crawled
2026-03-07 20:02:14 | crawler.orchestrator | INFO | ✅ Fixed 1 graph edges, removed 0 orphans
2026-03-07 20:02:14 | crawler.orchestrator | INFO | 📊 Final graph: 3 nodes, 1 edges
2026-03-07 20:02:14 | crawler.orchestrator | INFO | 🧹 Removed 1 orphan placeholder nodes
2026-03-07 20:02:14 | crawler.orchestrator | INFO | 📊 Clean graph: 2 nodes, 1 edges
2026-03-07 20:02:14 | crawler.orchestrator | INFO | ✅ Crawl completed successfully
2026-03-07 20:02:57 | crawler.graph_builder | INFO | 💾 Graph exported to JSON: data\crawled_graphs\127_0_0_1_5001_20260307_200257.json
2026-03-07 20:02:57 | crawler.graph_builder | INFO | 💾 Graph exported to GraphML: data\crawled_graphs\127_0_0_1_5001_20260307_200257.graphml
2026-03-07 20:02:57 | crawler.orchestrator | INFO | 💾 Exported CSV: data\crawled_graphs\127_0_0_1_5001_20260307_200257.csv
2026-03-07 20:02:57 | crawler.orchestrator | INFO | ✅ Results exported to data/crawled_graphs as 127_0_0_1_5001_20260307_200257
2026-03-07 20:02:57 | __main__ | INFO | Crawl results structure: ['crawl_stats', 'graph_stats', 'ai_stats', 'states', 'nodes', 'edges']
2026-03-07 20:02:57 | __main__ | INFO | Found 2 states
2026-03-07 20:02:57 | __main__ | INFO | Found 2 nodes
2026-03-07 20:02:58 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-07 20:02:58 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-07 20:02:58 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
