2026-03-07 20:33:37 | execution.rl_agent.dqn_agent | INFO | RL model loaded (ε=0.112)
2026-03-07 20:33:46 | execution.adaptive_runner | INFO | [1/25] bva_length_b3755583_username_0 → passed (conf=90%, oracle=heuristic)
2026-03-07 20:33:49 | execution.adaptive_runner | INFO | [2/25] bva_length_b3755583_username_1 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:33:51 | execution.adaptive_runner | INFO | [3/25] bva_length_b3755583_username_2 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:33:56 | execution.adaptive_runner | INFO | [4/25] bva_length_b3755583_username_3 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:33:59 | execution.adaptive_runner | INFO | [5/25] bva_length_b3755583_username_4 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:34:03 | execution.adaptive_runner | INFO | [6/25] bva_length_b3755583_username_5 → passed (conf=65%, oracle=heuristic)
2026-03-07 20:34:06 | execution.adaptive_runner | INFO | [7/25] bva_length_b3755583_password_0 → passed (conf=90%, oracle=heuristic)
2026-03-07 20:34:10 | execution.adaptive_runner | WARNING | LLM disabled for session after 3 consecutive failures (all keys quota-exhausted). Heuristic-only for remaining tests.
2026-03-07 20:34:10 | execution.adaptive_runner | INFO | [8/25] bva_length_b3755583_password_1 → failed (conf=85%, oracle=heuristic)
2026-03-07 20:34:12 | execution.adaptive_runner | INFO | [9/25] bva_length_b3755583_password_2 → failed (conf=85%, oracle=heuristic)
2026-03-07 20:34:15 | execution.adaptive_runner | INFO | [10/25] bva_length_b3755583_password_3 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:34:18 | execution.adaptive_runner | INFO | [11/25] bva_length_b3755583_password_4 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:34:20 | execution.adaptive_runner | INFO | [12/25] bva_length_b3755583_password_5 → passed (conf=65%, oracle=heuristic)
2026-03-07 20:34:23 | execution.adaptive_runner | INFO | [13/25] ecp_text_b3755583_username_valid → failed (conf=85%, oracle=heuristic)
2026-03-07 20:34:25 | execution.adaptive_runner | INFO | [14/25] ecp_text_b3755583_username_empty → passed (conf=90%, oracle=heuristic)
2026-03-07 20:34:28 | execution.adaptive_runner | INFO | [15/25] ecp_text_b3755583_username_special → passed (conf=75%, oracle=heuristic)
2026-03-07 20:34:31 | execution.adaptive_runner | INFO | [16/25] ecp_text_b3755583_username_long → passed (conf=65%, oracle=heuristic)
2026-03-07 20:34:34 | execution.adaptive_runner | INFO | [17/25] ecp_text_b3755583_username_unicode → passed (conf=85%, oracle=heuristic)
2026-03-07 20:34:36 | execution.adaptive_runner | INFO | [18/25] ecp_text_b3755583_password_valid → passed (conf=85%, oracle=heuristic)
2026-03-07 20:34:39 | execution.adaptive_runner | INFO | [19/25] ecp_text_b3755583_password_empty → passed (conf=90%, oracle=heuristic)
2026-03-07 20:34:42 | execution.adaptive_runner | INFO | [20/25] ecp_text_b3755583_password_special → passed (conf=65%, oracle=heuristic)
2026-03-07 20:34:45 | execution.adaptive_runner | INFO | [21/25] ecp_text_b3755583_password_long → passed (conf=65%, oracle=heuristic)
2026-03-07 20:34:48 | execution.adaptive_runner | INFO | [22/25] ecp_text_b3755583_password_unicode → failed (conf=85%, oracle=heuristic)
2026-03-07 20:34:50 | execution.adaptive_runner | INFO | [23/25] usecase_registration_unknown → failed (conf=85%, oracle=heuristic)
2026-03-07 20:34:53 | execution.adaptive_runner | INFO | [24/25] usecase_auth_login → failed (conf=85%, oracle=heuristic)
2026-03-07 20:34:56 | execution.adaptive_runner | INFO | [25/25] usecase_auth_register → passed (conf=65%, oracle=heuristic)
2026-03-07 20:34:59 | execution.rl_agent.dqn_agent | INFO | RL model saved → data\rl_model\dqn_checkpoint.pth
2026-03-07 20:35:00 | execution.adaptive_runner | INFO | Execution complete: 19/25 passed | 3 LLM calls ($0.006) | stop_reason=completed
2026-03-07 20:38:47 | execution.rl_agent.dqn_agent | INFO | RL model loaded (ε=0.112)
2026-03-07 20:38:55 | execution.adaptive_runner | INFO | [1/25] bva_length_b3755583_username_0 → passed (conf=90%, oracle=heuristic)
2026-03-07 20:38:58 | execution.adaptive_runner | INFO | [2/25] bva_length_b3755583_username_1 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:39:00 | execution.adaptive_runner | INFO | [3/25] bva_length_b3755583_username_2 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:39:02 | execution.adaptive_runner | INFO | [4/25] bva_length_b3755583_username_3 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:39:05 | execution.adaptive_runner | INFO | [5/25] bva_length_b3755583_username_4 → passed (conf=85%, oracle=heuristic)
2026-03-07 20:39:08 | execution.adaptive_runner | INFO | [6/25] bva_length_b3755583_username_5 → passed (conf=65%, oracle=heuristic)
2026-03-07 20:39:10 | execution.adaptive_runner | INFO | [7/25] bva_length_b3755583_password_0 → passed (conf=90%, oracle=heuristic)
2026-03-07 20:39:12 | execution.adaptive_runner | INFO | [8/25] bva_length_b3755583_password_1 → failed (conf=85%, oracle=heuristic)
2026-03-07 20:39:15 | execution.adaptive_runner | INFO | [9/25] bva_length_b3755583_password_2 → failed (conf=85%, oracle=heuristic)
