2026-03-28 01:21:50 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:21:50 | app.components.graph_viz | INFO | ✅ Added 6 nodes
2026-03-28 01:21:50 | app.components.graph_viz | INFO | ✅ Graph: 6 nodes, 5 edges
2026-03-28 01:21:51 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 01:21:52 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:34:57 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:34:57 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-28 01:34:57 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-28 01:34:58 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 01:34:59 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:35:05 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:35:05 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:35:10 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:35:10 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:35:12 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:35:12 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 01:35:12 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-28 01:35:12 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 01:35:13 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:35:15 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:35:15 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 01:35:15 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-28 01:35:15 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 01:35:15 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:35:17 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:35:17 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 01:35:17 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-28 01:35:17 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 01:35:17 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:35:21 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:35:21 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 01:35:21 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-28 01:35:21 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 01:35:22 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 01:35:23 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 01:35:23 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-28 01:35:23 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-28 01:35:23 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 01:35:24 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
