2026-04-01 10:51:12 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 6 detection strategies
2026-04-01 10:51:12 | crawler.state_manager | INFO | StateManager initialized (normalization=ON)
2026-04-01 10:51:13 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 10:51:13 | crawler.page_loader | INFO | PageLoader initialized: chromium, headless=False
2026-04-01 10:51:15 | crawler.page_loader | INFO | 📂 Loaded session from: auth_session.json
2026-04-01 10:51:16 | crawler.page_loader | INFO | ✅ Font bypass and animation disable injected
2026-04-01 10:51:16 | crawler.page_loader | INFO | ✅ Browser started successfully
2026-04-01 10:51:16 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:5500/test_websites/site2_booking/index.html
2026-04-01 10:51:26 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 10:51:31 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 10:51:31 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 5 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 10:51:39 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 10:51:39 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 5 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 10:51:45 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
