2026-04-01 10:51:12 | crawler.redis_cache | INFO | ℹ️  Redis not available (using in-memory cache): Error 10061 connecting to 127.0.0.1:6379. No connection could be made because the target machine actively refused it.
2026-04-01 10:51:12 | crawler.ai_detector | INFO | 🤖 Gemini element detector initialized (model: gemini-3.1-flash-lite-preview)
2026-04-01 10:51:12 | crawler.ai_detector | INFO | 🤖 Gemini element detector initialized (model: gemini-3.1-flash-lite-preview)
2026-04-01 10:51:13 | crawler.link_extractor | INFO | 🤖 Gemini AI detector enabled with 12 API keys
2026-04-01 10:51:13 | crawler.link_extractor | INFO | LinkExtractor initialized (same_origin=True, AVB=ON, intelligent_filter=ON, snapshots=ON)
2026-04-01 10:51:13 | crawler.ai_enricher | INFO | ✅ Gemini AI enrichment enabled with 12 API keys (gemini-3.1-flash-lite-preview)
2026-04-01 10:51:13 | crawler.interaction_sim | INFO | InteractionSimulator initialized (submit_forms=False, expand=True)
2026-04-01 10:51:23 | crawler.link_extractor | INFO | 🎯 Found 1 clickable elements (traditional detection)
2026-04-01 10:51:23 | crawler.link_extractor | INFO | 🌓 Added 5 shadow DOM elements
2026-04-01 10:51:23 | crawler.link_extractor | INFO | 🔄 Deduplication: 6 → 2 elements (removed 4 duplicates)
2026-04-01 10:51:23 | crawler.link_extractor | INFO | 🧠 After intelligent filtering: 2 unique components
2026-04-01 10:51:26 | crawler.ai_detector | INFO | 🤖 Form detection: Analyzing screenshot with Gemini (API call #1)
2026-04-01 10:51:27 | crawler.ai_detector | WARNING | ⚠️  API key quota exceeded (attempt 1/12)
2026-04-01 10:51:27 | crawler.ai_detector | INFO | 🔄 Switching to next API key...
2026-04-01 10:51:31 | crawler.ai_detector | INFO | ✅ AI Vision: Detected 1 forms
2026-04-01 10:51:31 | crawler.link_extractor | INFO | 📦 Stored component state: http://localhost:5500/test_websites/site2_booking/index.html#component-book-now
2026-04-01 10:51:31 | crawler.link_extractor | INFO | 🔍 Action-Verify-Back: 0/2 clicks discovered URLs (0 unique)
2026-04-01 10:51:31 | crawler.link_extractor | WARNING | ⚠️  NO URLs discovered from 2 clickable elements! Check selectors.
2026-04-01 10:51:31 | crawler.link_extractor | INFO | 🔗 Extracted 0 unique links
2026-04-01 10:51:35 | crawler.interaction_sim | INFO | 🔍 Hidden elements discovered: 0 accordions, 0 menus
2026-04-01 10:51:36 | crawler.ai_detector | INFO | 🤖 Form detection: Analyzing screenshot with Gemini (API call #2)
2026-04-01 10:51:39 | crawler.ai_detector | INFO | ✅ AI Vision: Detected 1 forms
2026-04-01 10:51:40 | crawler.ai_enricher | INFO | 🤖 AI enrichment: Found 1 forms, 1 buttons, 1 interactive elements
2026-04-01 10:51:40 | crawler.link_extractor | INFO | 🤖 Using GEMINI AI to detect navigation elements on homepage
2026-04-01 10:51:41 | crawler.ai_detector | INFO | 🤖 Sending screenshot to Gemini: snapshots/ai_analysis_3707.png (API call #3)
2026-04-01 10:51:41 | crawler.ai_detector | INFO | 📋 Generic parser found 2 potential navigation elements
2026-04-01 10:51:41 | crawler.ai_detector | INFO | 📤 Requesting Gemini analysis...
2026-04-01 10:51:42 | crawler.ai_detector | INFO | 🤖 Gemini detected 1 navigation elements (confidence >= 70%)
2026-04-01 10:51:42 | crawler.ai_detector | INFO | ✅ 1 high-confidence elements validated
2026-04-01 10:51:42 | crawler.ai_detector | INFO | 📦 Detected layout signature (caching disabled): accordions:0
2026-04-01 10:51:42 | crawler.link_extractor | INFO | 🤖 AI found 1 navigation elements: ['Book Now']
2026-04-01 10:51:42 | crawler.link_extractor | INFO | 🤖 Using 1 AI-detected navigation elements
2026-04-01 10:51:42 | crawler.link_extractor | INFO | 🌓 Added 5 shadow DOM elements
2026-04-01 10:51:42 | crawler.link_extractor | INFO | 🔄 Deduplication: 6 → 2 elements (removed 4 duplicates)
2026-04-01 10:51:42 | crawler.link_extractor | INFO | 🧠 After intelligent filtering: 2 unique components
2026-04-01 10:51:45 | crawler.ai_detector | INFO | 🤖 Form detection: Analyzing screenshot with Gemini (API call #4)
