2026-04-01 13:36:42 | execution.base_runner | INFO | [state_branch_0_0] No submit button found — skipping
2026-04-01 13:36:43 | execution.base_runner | INFO | [state_branch_0_1] No submit button found — skipping
2026-04-01 13:36:43 | execution.base_runner | INFO | [usecase_ecommerce_complete_purchase] No submit button found — skipping
2026-04-01 13:36:43 | execution.base_runner | INFO | [usecase_ecommerce_multiple_products] No submit button found — skipping
2026-04-01 13:36:43 | execution.base_runner | INFO | [usecase_ecommerce_remove_from_cart] No submit button found — skipping
2026-04-01 13:42:18 | execution.base_runner | INFO | [ecp_date_60d3767f_appDate_invalid] No submit button found — skipping
2026-04-01 13:42:21 | execution.base_runner | INFO | [ecp_text_60d3767f_reason_long] No submit button found — skipping
2026-04-01 13:42:26 | execution.base_runner | INFO | [ecp_text_3778a249_firstName_long] No submit button found — skipping
2026-04-01 13:42:31 | execution.base_runner | INFO | [ecp_text_3778a249_lastName_long] No submit button found — skipping
2026-04-01 13:42:38 | execution.base_runner | INFO | [ecp_date_3778a249_dob_invalid] No submit button found — skipping
2026-04-01 13:42:43 | execution.base_runner | INFO | [ecp_email_3778a249_email_invalid] No submit button found — skipping
2026-04-01 13:42:48 | execution.base_runner | INFO | [ecp_text_3778a249_patientPhone_long] No submit button found — skipping
2026-04-01 13:42:54 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_missing_at_0] No submit button found — skipping
2026-04-01 13:42:58 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_missing_at_1] No submit button found — skipping
2026-04-01 13:43:03 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_missing_domain_0] No submit button found — skipping
2026-04-01 13:43:08 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_missing_domain_1] No submit button found — skipping
2026-04-01 13:43:13 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_special_chars_0] No submit button found — skipping
2026-04-01 13:43:18 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_special_chars_1] No submit button found — skipping
2026-04-01 13:43:23 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_empty_1] No submit button found — skipping
2026-04-01 13:43:27 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_spaces_0] No submit button found — skipping
2026-04-01 13:43:31 | execution.base_runner | INFO | [ecp_email_3778a249_patientEmail_invalid_spaces_1] No submit button found — skipping
2026-04-01 13:43:36 | execution.base_runner | INFO | [ecp_text_3778a249_emergencyContact_long] No submit button found — skipping
2026-04-01 13:43:39 | execution.base_runner | INFO | [ecp_text_9a4dfdb5_firstName_long] No submit button found — skipping
2026-04-01 13:43:43 | execution.base_runner | INFO | [ecp_date_9a4dfdb5_dob_invalid] No submit button found — skipping
2026-04-01 13:43:47 | execution.base_runner | INFO | [ecp_text_9a4dfdb5_patientPhone_long] No submit button found — skipping
2026-04-01 13:43:51 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_missing_at_0] No submit button found — skipping
2026-04-01 13:43:55 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_missing_at_1] No submit button found — skipping
2026-04-01 13:44:01 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_missing_domain_0] No submit button found — skipping
2026-04-01 13:44:05 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_missing_domain_1] No submit button found — skipping
2026-04-01 13:44:11 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_special_chars_0] No submit button found — skipping
2026-04-01 13:44:15 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_special_chars_1] No submit button found — skipping
2026-04-01 13:44:18 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_empty_1] No submit button found — skipping
2026-04-01 13:44:22 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_spaces_0] No submit button found — skipping
2026-04-01 13:44:27 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_invalid_spaces_1] No submit button found — skipping
2026-04-01 13:44:30 | execution.base_runner | INFO | [ecp_text_9a4dfdb5_emergencyContact_long] No submit button found — skipping
2026-04-01 13:44:34 | execution.base_runner | INFO | [ecp_email_9a4dfdb5_patientEmail_missing_at] No submit button found — skipping
2026-04-01 13:44:34 | execution.base_runner | INFO | [state_branch_0_0] No submit button found — skipping
2026-04-01 13:44:34 | execution.base_runner | INFO | [state_branch_0_1] No submit button found — skipping
2026-04-01 13:44:34 | execution.base_runner | INFO | [state_branch_0_2] No submit button found — skipping
2026-04-01 13:44:35 | execution.base_runner | INFO | [usecase_ecommerce_complete_purchase] No submit button found — skipping
2026-04-01 13:44:35 | execution.base_runner | INFO | [usecase_ecommerce_multiple_products] No submit button found — skipping
2026-04-01 13:44:35 | execution.base_runner | INFO | [usecase_ecommerce_remove_from_cart] No submit button found — skipping
2026-04-01 13:44:42 | execution.base_runner | INFO | [usecase_auth_register] No submit button found — skipping
2026-04-01 13:44:45 | execution.base_runner | INFO | [bva_length_60d3767f_reason_0] No submit button found — skipping
2026-04-01 13:44:48 | execution.base_runner | INFO | [bva_length_60d3767f_reason_1] No submit button found — skipping
2026-04-01 13:44:51 | execution.base_runner | INFO | [bva_length_60d3767f_reason_2] No submit button found — skipping
2026-04-01 13:44:54 | execution.base_runner | INFO | [bva_length_60d3767f_reason_3] No submit button found — skipping
2026-04-01 13:44:56 | execution.base_runner | INFO | [bva_length_60d3767f_reason_4] No submit button found — skipping
2026-04-01 13:44:59 | execution.base_runner | INFO | [bva_length_60d3767f_reason_5] No submit button found — skipping
2026-04-01 13:45:04 | execution.base_runner | INFO | [bva_length_3778a249_firstName_1] No submit button found — skipping
2026-04-01 13:45:09 | execution.base_runner | INFO | [bva_length_3778a249_firstName_2] No submit button found — skipping
2026-04-01 13:45:15 | execution.base_runner | INFO | [bva_length_3778a249_firstName_3] No submit button found — skipping
2026-04-01 13:45:20 | execution.base_runner | INFO | [bva_length_3778a249_firstName_4] No submit button found — skipping
2026-04-01 13:45:24 | execution.base_runner | INFO | [bva_length_3778a249_firstName_5] No submit button found — skipping
