run_number,timestamp,pass_rate,heuristic_decisions,llm_decisions,llm_percentage,api_calls_used,api_cost,execution_time_seconds,epsilon,q_learning_rate,discount_factor,notes
1,2026-03-31T01:30:51.987498,79.31%,54,4,6.9%,4,$0.0080,215.88,0.186930,0.001000,0.9500,Stop reason: completed | 46/58 passed
2,2026-03-31T01:38:16.643369,82.61%,41,5,10.9%,5,$0.0100,189.17,0.173390,0.001000,0.9500,Stop reason: completed | 38/46 passed
3,2026-03-31T01:45:48.415144,48.21%,49,7,12.5%,7,$0.0140,228.79,0.152968,0.001000,0.9500,Stop reason: completed | 27/56 passed
4,2026-03-31T01:51:47.632885,65.79%,37,1,2.6%,1,$0.0020,139.46,0.147694,0.001000,0.9500,Stop reason: completed | 25/38 passed
5,2026-03-31T02:08:50.392363,75.21%,111,6,5.1%,6,$0.0120,520.77,0.095973,0.001000,0.9500,Stop reason: completed | 88/117 passed
6,2026-04-01T02:00:55.540117,0.00%,3,0,0.0%,0,$0.0000,32.42,0.095973,0.001000,0.9500,Stop reason: server_unreachable | 0/55 passed
7,2026-04-01T02:08:50.134838,54.55%,55,0,0.0%,0,$0.0000,178.96,0.085095,0.001000,0.9500,Stop reason: completed | 30/55 passed
8,2026-04-01T02:24:36.539456,56.34%,69,2,2.8%,2,$0.0040,215.95,0.069635,0.001000,0.9500,Stop reason: completed | 40/71 passed
9,2026-04-01T02:42:27.710270,84.72%,70,2,2.8%,2,$0.0040,216.05,0.056699,0.001000,0.9500,Stop reason: completed | 61/72 passed
10,2026-04-01T11:57:19.543929,0.00%,0,0,0.0%,0,$0.0000,4.11,0.056699,0.001000,0.9500,Stop reason: budget_exhausted | 0/151 passed
11,2026-04-01T12:48:52.180858,56.95%,149,2,1.3%,2,$0.0040,534.74,0.031070,0.001000,0.9500,Stop reason: completed | 86/151 passed
12,2026-04-01T13:23:52.022478,83.44%,148,3,2.0%,3,$0.0060,462.19,0.017026,0.001000,0.9500,Stop reason: completed | 126/151 passed
13,2026-04-01T13:40:51.716403,68.25%,120,0,0.0%,0,$0.0000,326.14,0.010898,0.001000,0.9500,Stop reason: rl_stop | 86/126 passed
14,2026-04-01T14:20:09.488083,41.21%,180,2,1.1%,2,$0.0040,539.88,0.009958,0.001000,0.9500,Stop reason: completed | 75/182 passed
15,2026-04-01T17:54:49.322754,47.54%,181,2,1.1%,2,$0.0040,478.94,0.009958,0.001000,0.9500,Stop reason: completed | 87/183 passed
16,2026-04-01T23:26:46.360660,83.43%,180,1,0.6%,1,$0.0020,505.13,0.009958,0.001000,0.9500,Stop reason: completed | 151/181 passed
